file,size,heuristic_rects,heuristic_sel_pct,heuristic_payload_pct,heuristic_ms,iforest_rects,iforest_sel_pct,iforest_payload_pct,iforest_ms
"112065.12196731567 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,114,94.39,94.61,31,189,8.66,9.02,157
"112113.06498527527 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,209,89.98,90.39,31,173,7.28,7.62,141
"112161.24797153473 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,174,92.89,93.22,29,242,11.37,11.83,157
"112209.11499357224 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,230,86.54,86.98,46,271,10.38,10.9,158
"112257.49497318268 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,128,94.27,94.51,31,284,12.62,13.17,158
"112305.18997621536 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,63,96.92,97.04,15,188,7.7,8.06,156
"112355.24794578552 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,96,94.93,95.11,31,284,12.08,12.63,157
"112401.06194543839 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,164,94.17,94.48,31,259,11.07,11.57,156
"112449.17394256592 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,66,97.44,97.57,15,246,10.29,10.76,157
"112497.16696882248 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,62,96.8,96.92,14,331,14.2,14.83,172
"112545.03595781326 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,37,97.54,97.61,15,293,12.33,12.89,152
"112595.23697853088 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,72,96.97,97.11,24,300,12.25,12.83,157
"112641.14294815063 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,27,97.64,97.69,16,323,13.31,13.93,157
"112689.06295871735 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,31,351,16.02,16.69,157
"112737.11898708344 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,140,95.15,95.42,21,301,12.77,13.35,157
"112785.15796852112 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,10,338,15.33,15.98,172
"112833.51494073868 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,32,97.61,97.67,14,282,12.72,13.26,156
"112881.09597969055 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,27,97.49,97.54,16,295,13.36,13.93,157
"112929.47697257996 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,96,96.73,96.91,31,307,15.13,15.72,157
"112977.1439614296 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,78,96.16,96.31,31,367,16.73,17.44,157
